date,potential_water_deficit
2004-10-14,-4.569
2004-10-15,-0.7295
2004-10-16,-1.7099
2004-10-17,-3.2942
2004-10-18,-4.4598
2004-10-19,-4.9425
2004-10-20,-4.2725
2004-10-21,-2.4069
2004-10-22,-3.5412
2004-10-23,-4.511
2004-10-24,-5.6974
2004-10-25,-0.9553
2004-10-26,-3.3503
2004-10-27,3.0942
2004-10-28,-4.1167
2004-10-29,-3.7578
2004-10-30,4.4629
2004-10-31,-4.3899
2005-07-01,-3.9534
2005-07-02,0.6983
2005-07-03,5.8779
2005-07-04,7.401
2005-07-05,1.6563
2005-07-06,11.7181
2005-07-07,-0.5861
2005-07-08,-0.1683
2005-07-09,11.093
2005-07-10,2.3017
2005-07-11,-4.2632
2005-07-12,1.0145
2005-07-13,7.1847
2005-07-14,-4.7303
2005-07-15,-2.61
2005-07-16,14.9437
2005-07-17,-1.2995
2005-07-18,-1.755
2005-07-19,-3.4611
2005-07-20,-4.1824
2005-07-21,10.1687
2005-07-22,3.5857
2005-07-23,-4.6224
2005-07-24,18.6445
2005-07-25,-1.7038
2005-07-26,9.7518
2005-07-27,-1.2945
2005-07-28,9.8209
2005-07-29,10.5653
2005-07-30,-0.7189
2005-07-31,2.05
2005-08-01,-4.0426
2005-08-02,1.9955
2005-08-03,9.18
2005-08-04,-1.4689
2005-08-05,-2.9764
2005-08-06,3.7088
2005-08-07,-4.6303
2005-08-08,7.2381
2005-08-09,-0.2772
2005-08-10,-0.8576
2005-08-11,-3.7393
2005-08-12,0.9411
2005-08-13,8.028
2005-08-14,-3.8084
2005-08-15,3.7238
2005-08-16,12.9244
2005-08-17,3.3731
2005-08-18,0.7009
2005-08-19,1.0198
2005-08-20,8.5998
2005-08-21,7.0415
2005-08-22,1.7677
2005-08-23,-4.2572
2005-08-24,5.1407
2005-08-25,5.4093
2005-08-26,7.3864
2005-08-27,4.7249
2005-08-28,-2.1185
2005-08-29,-2.4703
2005-08-30,2.282
2005-08-31,8.0211
2005-09-01,-4.5781
2005-09-02,-0.2711
2005-09-03,-4.2119
2005-09-04,-3.302
2005-09-05,-2.349
2005-09-06,4.3483
2005-09-07,0.0582
2005-09-08,3.5869
2005-09-09,2.9781
2005-09-10,10.7066
2005-09-11,9.0424
2005-09-12,2.5773
2005-09-13,-0.6707
2005-09-14,3.0534
2005-09-15,-0.8904
2005-09-16,-3.1253
2005-09-17,-3.1522
2005-09-18,2.0434
2005-09-19,-4.7484
2005-09-20,-1.3254
2005-09-21,2.0931
2005-09-22,-4.4417
2005-09-23,-4.2771
2005-09-24,-4.3465
2005-09-25,-5.0564
2005-09-26,-3.1132
2005-09-27,1.0141
2005-09-28,2.4691
2005-09-29,-4.7707
2005-09-30,-0.7101
2005-10-01,3.0994
2005-10-02,-3.8016
2005-10-03,-3.5753
2005-10-04,-4.5029
2005-10-05,3.8343
2005-10-06,5.3059
2005-10-07,-0.3295
2005-10-08,0.5549
2005-10-09,-2.3752
2005-10-10,-4.3083
2005-10-11,0.8864
2005-10-12,4.5511
2005-10-13,-1.0324
2005-10-14,4.6136
2005-10-15,-3.7206
2005-10-16,2.9189
2005-10-17,4.3713
2005-10-18,-2.9118
2005-10-19,-2.6073
2005-10-20,5.3948
2005-10-21,3.1507
2005-10-22,0.8495
2005-10-23,-4.0443
2005-10-24,-0.4725
2005-10-25,-1.097
2005-10-26,-0.3528
2005-10-27,-0.9663
2005-10-28,7.9222
2005-10-29,-2.787
2005-10-30,-3.7608
2005-10-31,-3.5862
2006-07-01,-2.6838
2006-07-02,1.7066
2006-07-03,-2.2765
2006-07-04,-0.1096
2006-07-05,-1.5397
2006-07-06,-2.022
2006-07-07,4.2034
2006-07-08,6.1425
2006-07-09,-0.12
2006-07-10,-3.359
2006-07-11,-2.0073
2006-07-12,-2.1147
2006-07-13,-4.0086
2006-07-14,-4.5935
2006-07-15,-2.6013
2006-07-16,-4.4293
2006-07-17,-4.9903
2006-07-18,1.676
2006-07-19,4.9469
2006-07-20,3.199
2006-07-21,-3.0957
2006-07-22,-0.3625
2006-07-23,11.3145
2006-07-24,-1.5964
2006-07-25,-1.6532
2006-07-26,-2.6623
2006-07-27,0.6616
2006-07-28,2.4127
2006-07-29,4.1557
2006-07-30,1.8718
2006-07-31,-1.4315
2006-08-01,-0.9145
2006-08-02,0.1353
2006-08-03,1.8233
2006-08-04,10.2645
2006-08-05,0.8526
2006-08-06,8.7173
2006-08-07,3.3663
2006-08-08,11.6277
2006-08-09,8.5011
2006-08-10,-1.9789
2006-08-11,-3.5895
2006-08-12,-1.1952
2006-08-13,-0.2514
2006-08-14,9.947
2006-08-15,-2.6764
2006-08-16,2.7645
2006-08-17,-3.3094
2006-08-18,-3.0806
2006-08-19,4.0741
2006-08-20,2.4337
2006-08-21,2.8397
2006-08-22,-1.1034
2006-08-23,-1.2474
2006-08-24,4.4336
2006-08-25,8.9616
