date,2m_temp
2006-07-28,25.9047
2006-07-29,26.5707
2006-07-30,27.5613
2006-07-31,25.5961
2006-08-01,27.0503
2006-08-02,28.3408
2006-08-03,27.2786
2006-08-04,25.5018
2006-08-05,24.7088
2006-08-06,27.5969
2006-08-07,25.279
2006-08-08,25.1904
2006-08-09,24.4976
2006-08-10,24.7311
2006-08-11,26.3266
2006-08-12,25.5812
2006-08-13,27.0561
2006-08-14,24.5869
2006-08-15,25.7346
2006-08-16,26.3839
2006-08-17,25.9249
2006-08-18,25.8065
2006-08-19,28.1208
2006-08-20,28.4187
2006-08-21,27.7226
2006-08-22,26.708
2006-08-23,28.6123
2006-08-24,29.1369
2006-08-25,23.5175
2006-08-26,23.4395
2006-08-27,25.5457
2006-08-28,26.5311
2006-08-29,26.4854
2006-08-30,26.3998
2006-08-31,27.1126
2006-09-01,26.0979
2006-09-02,25.3017
2006-09-03,24.3451
2006-09-04,27.17
2006-09-05,27.021
2006-09-06,24.7631
2006-09-07,23.8384
2006-09-08,25.8903
2006-09-09,26.6658
2006-09-10,26.2311
2006-09-11,25.1728
2006-09-12,26.4707
2006-09-13,27.7979
2006-09-14,27.5156
2006-09-15,28.0925
2006-09-16,27.9595
2006-09-17,25.8121
2006-09-18,25.7721
2006-09-19,26.8465
2006-09-20,28.4193
2006-09-21,28.6113
2006-09-22,27.3404
2006-09-23,27.4542
2006-09-24,28.1267
2006-09-25,27.6603
2006-09-26,27.9069
2006-09-27,27.4947
2006-09-28,27.2461
2006-09-29,26.4609
2006-09-30,26.9746
2006-10-01,28.2308
2006-10-02,27.5211
2006-10-03,28.725
2006-10-04,28.808
2006-10-05,29.6175
2006-10-06,30.3268
2006-10-07,30.3827
2006-10-08,29.9593
2006-10-09,29.4737
2006-10-10,29.6249
2006-10-11,29.201
2006-10-12,29.5091
2006-10-13,29.7683
2006-10-14,28.9875
2006-10-15,29.1893
2006-10-16,29.163
2006-10-17,29.043
2006-10-18,28.9947
2006-10-19,28.9582
2006-10-20,29.0915
2006-10-21,27.8145
2006-10-22,28.2209
2006-10-23,27.7555
2006-10-24,27.3023
2006-10-25,26.2074
2006-10-26,27.3719
2006-10-27,29.5383
2006-10-28,27.3102
2006-10-29,28.2453
2006-10-30,28.5646
2006-10-31,29.7515
2007-07-01,27.4658
2007-07-02,26.0822
2007-07-03,25.9734
2007-07-04,24.3151
2007-07-05,23.2064
2007-07-06,26.3176
2007-07-07,27.7238
2007-07-08,27.2019
2007-07-09,26.028
2007-07-10,26.2747
2007-07-11,26.1155
2007-07-12,25.4843
2007-07-13,24.6938
2007-07-14,26.235
2007-07-15,26.8215
2007-07-16,26.0655
2007-07-17,24.6124
2007-07-18,24.7246
2007-07-19,26.1195
2007-07-20,26.1447
2007-07-21,25.3805
2007-07-22,25.1609
2007-07-23,25.4894
2007-07-24,25.8919
2007-07-25,25.1431
2007-07-26,26.1944
2007-07-27,26.2799
2007-07-28,26.4369
2007-07-29,26.1793
2007-07-30,25.6137
2007-07-31,24.2206
2007-08-01,24.9341
2007-08-02,26.051
2007-08-03,24.8953
2007-08-04,25.3296
2007-08-05,25.1092
2007-08-06,24.9183
2007-08-07,25.929
2007-08-08,26.2203
2007-08-09,25.3495
2007-08-10,25.5807
2007-08-11,24.7794
2007-08-12,25.4602
2007-08-13,26.2519
2007-08-14,26.977
2007-08-15,24.7154
2007-08-16,24.0154
2007-08-17,26.8291
2007-08-18,26.4151
2007-08-19,26.7279
2007-08-20,24.6181
2007-08-21,26.052
2007-08-22,26.3357
2007-08-23,24.7763
2007-08-24,25.2464
2007-08-25,26.5876
2007-08-26,27.9348
2007-08-27,26.3016
2007-08-28,23.4547
2007-08-29,26.0264
2007-08-30,24.3194
2007-08-31,26.5469
2007-09-01,24.4983
2007-09-02,25.7916
2007-09-03,25.4023
2007-09-04,26.1897
2007-09-05,25.9145
2007-09-06,24.9131
2007-09-07,26.8766
2007-09-08,24.9308
2007-09-09,25.2695
2007-09-10,25.9412
2007-09-11,26.1794
2007-09-12,23.9408
2007-09-13,25.6336
2007-09-14,27.1594
2007-09-15,27.1013
2007-09-16,27.2229
2007-09-17,26.855
2007-09-18,27.9384
2007-09-19,25.9815
2007-09-20,25.9083
2007-09-21,27.6053
2007-09-22,25.6331
2007-09-23,27.0449
2007-09-24,27.8742
2007-09-25,28.5011
2007-09-26,26.982
2007-09-27,26.4384
2007-09-28,27.6648
2007-09-29,27.412
2007-09-30,27.248
2007-10-01,27.7981
2007-10-02,24.7236
2007-10-03,26.6227
2007-10-04,27.41
2007-10-05,27.7576
2007-10-06,27.6768
2007-10-07,28.6121
2007-10-08,28.6895
